0.005,101.9
0.01,71.0
0.015,69.5
0.02,75.4
0.025,76.3
0.03,67.2
0.035,71.6
0.04,72.9
0.045,129.5
0.05,104.2
0.055,81.6
0.06,67.2
0.065,84.6
0.07,95.1
0.075,88.5
0.08,101.0
0.085,94.8
0.09,96.9
0.095,78.9
0.1,112.1
0.105,112.7
0.11,104.7
0.115,139.9
0.12,107.6
0.125,83.4
0.13,87.8
0.135,96.6
0.14,91.2
0.145,83.6
0.15,87.3
0.155,94.4
0.16,92.6
0.165,80.8
0.17,91.3
0.175,84.0
0.18,80.9
0.185,92.4
0.19,83.6
0.195,84.3
0.2,82.0
0.205,82.8
0.21,83.3
0.215,84.4
0.22,83.1
0.225,84.8
0.23,93.1
0.235,91.8
0.24,105.0
0.245,83.7
0.25,80.2
