Steps,Mean Distance
10,3.2688977016537013
20,3.9221409836323144
50,5.975685989805301
100,8.007158296652156
200,11.924372327358723
500,21.14166319733369
1000,28.56632928771702
2000,43.618677550837475
5000,67.76851385029344
10000,91.87618192732803
20000,110.28836586391093
